material,frequency,reflection_eff
alumina_96,1.0000000000000,1.8096358800763
alumina_96,2.0030000209808,20.367905689609
alumina_96,3.0060000419617,1.8436245551200
alumina_96,4.0089998245239,14.143157784699
alumina_96,5.0120000839233,1.9125704225431
alumina_96,6.0149998664856,10.601432146067
alumina_96,7.0009999275208,1.9798194733671
alumina_96,8.0039997100830,8.8318233765398
alumina_96,9.0069999694824,2.1048427731353
alumina_96,10.010000228882,6.8235357201786
alumina_96,11.012999534607,2.2626055776756
alumina_96,12.015999794006,5.3193104561607
alumina_96,13.001999855042,2.4086789563043
alumina_96,14.005000114441,4.4368879599675
alumina_96,15.008000373840,2.6689136793812
alumina_96,16.010999679565,3.5518287614284
alumina_96,17.013999938965,3.0825401204804
alumina_96,18.000000000000,3.0477277281580
aluminum_nitride,1.0000000000000,1.9918417089459
aluminum_nitride,2.0030000209808,21.729065952051
aluminum_nitride,3.0060000419617,2.0140911356784
aluminum_nitride,4.0089998245239,16.210114811662
aluminum_nitride,5.0120000839233,2.0556931561175
aluminum_nitride,6.0149998664856,13.082494622407
aluminum_nitride,7.0009999275208,2.1374319784634
aluminum_nitride,8.0039997100830,10.189523821246
aluminum_nitride,9.0069999694824,2.2012320435341
aluminum_nitride,10.010000228882,8.9383185321326
aluminum_nitride,11.012999534607,2.2625130909053
aluminum_nitride,12.015999794006,8.0739885268037
aluminum_nitride,13.001999855042,2.3571705931776
aluminum_nitride,14.005000114441,7.0308006483594
aluminum_nitride,15.008000373840,2.3977488819588
aluminum_nitride,16.010999679565,6.7569253750359
aluminum_nitride,17.013999938965,2.4184411643786
aluminum_nitride,18.000000000000,6.2995157842934
beryllia_99.5,1.0000000000000,2.6648117779536
beryllia_99.5,2.0030000209808,6.9157956904010
beryllia_99.5,3.0060000419617,4.0437618403001
beryllia_99.5,4.0089998245239,3.7292147876823
beryllia_99.5,5.0120000839233,8.0260205954515
beryllia_99.5,6.0149998664856,2.8204848930921
beryllia_99.5,7.0009999275208,24.098077303261
beryllia_99.5,8.0039997100830,2.8687309258953
beryllia_99.5,9.0069999694824,6.6155832482504
beryllia_99.5,10.010000228882,4.0711037801274
beryllia_99.5,11.012999534607,3.5761597423865
beryllia_99.5,12.015999794006,8.5083016713638
beryllia_99.5,13.001999855042,2.7409628553506
beryllia_99.5,14.005000114441,22.680239261557
beryllia_99.5,15.008000373840,2.9766148510074
beryllia_99.5,16.010999679565,7.0256496921250
beryllia_99.5,17.013999938965,3.9032825855161
beryllia_99.5,18.000000000000,3.9339159430864
diamond,1.0000000000000,3.2401010825484
