material,frequency,shielding_eff
alumina_96,1.0000000000000,4.9808879073960
alumina_96,2.0030000209808,0.019762560410348
alumina_96,3.0060000419617,4.5738655017401
alumina_96,4.0089998245239,0.24613781301002
alumina_96,5.0120000839233,4.3895838667418
alumina_96,6.0149998664856,0.48631303045353
alumina_96,7.0009999275208,4.3389483728368
alumina_96,8.0039997100830,0.67193967014305
alumina_96,9.0069999694824,4.2409962685135
alumina_96,10.010000228882,1.0222337728499
alumina_96,11.012999534607,4.0748605971004
alumina_96,12.015999794006,1.4823318329377
alumina_96,13.001999855042,3.8700372691165
alumina_96,14.005000114441,1.9205653785824
alumina_96,15.008000373840,3.4393631625843
alumina_96,16.010999679565,2.6276005456143
alumina_96,17.013999938965,2.8346845531842
alumina_96,18.000000000000,3.3074046729641
aluminum_nitride,1.0000000000000,4.6330991822276
aluminum_nitride,2.0030000209808,0.078164161818067
aluminum_nitride,3.0060000419617,4.4331463647875
aluminum_nitride,4.0089998245239,0.076155811390920
aluminum_nitride,5.0120000839233,4.3010262612454
aluminum_nitride,6.0149998664856,0.22337780191143
aluminum_nitride,7.0009999275208,4.1700032658434
aluminum_nitride,8.0039997100830,0.44867958318227
aluminum_nitride,9.0069999694824,4.0750898681084
aluminum_nitride,10.010000228882,0.61509143622526
aluminum_nitride,11.012999534607,3.9887238615638
aluminum_nitride,12.015999794006,0.76870198670939
aluminum_nitride,13.001999855042,3.8678009722077
aluminum_nitride,14.005000114441,0.99930939908739
aluminum_nitride,15.008000373840,3.8017512564876
aluminum_nitride,16.010999679565,1.1042267555079
aluminum_nitride,17.013999938965,3.7370723797773
aluminum_nitride,18.000000000000,1.2904613516163
beryllia_99.5,1.0000000000000,3.2177040978479
beryllia_99.5,2.0030000209808,0.86259124694127
beryllia_99.5,3.0060000419617,2.3056091132139
beryllia_99.5,4.0089998245239,2.4633442611590
beryllia_99.5,5.0120000839233,0.72262695668864
beryllia_99.5,6.0149998664856,3.2529684037917
beryllia_99.5,7.0009999275208,0.098298129131157
beryllia_99.5,8.0039997100830,3.1800845742524
beryllia_99.5,9.0069999694824,1.0401509010842
beryllia_99.5,10.010000228882,2.1791269599749
beryllia_99.5,11.012999534607,2.5750399289132
beryllia_99.5,12.015999794006,0.67322456617339
beryllia_99.5,13.001999855042,3.2810253185974
beryllia_99.5,14.055999755859,0.10617583067452
beryllia_99.5,15.008000373840,3.1989255166863
beryllia_99.5,16.010999679565,0.97733164543976
beryllia_99.5,17.013999938965,2.3234755331251
beryllia_99.5,18.000000000000,2.4862018484746
diamond,1.0000000000000,2.7267628772235
diamond,2.0030000209808,1.2527552366422
diamond,3.0060000419617,1.1672852020441
diamond,4.0089998245239,2.7546849693736
diamond,5.0120000839233,0.042204346634287
diamond,6.0149998664856,2.7088738419361
diamond,7.0009999275208,1.3574875610233
diamond,8.0039997100830,1.0761553795268
diamond,9.0069999694824,2.7773607482642
diamond,10.010000228882,0.046270175539630
diamond,11.012999534607,2.6920877927877
diamond,12.015999794006,1.3082965951641
diamond,13.001999855042,1.0813530751644
diamond,14.005000114441,2.7662477722220
diamond,15.008000373840,0.041969875161721
diamond,16.010999679565,2.7264348476210
diamond,17.013999938965,1.1761794819829
diamond,18.000000000000,1.2475040169123
ECCOSORB_BSR1,1.0000000000000,10.297742196126
ECCOSORB_BSR1,2.0030000209808,20.473732428403
ECCOSORB_BSR1,3.0060000419617,32.901476735609
ECCOSORB_BSR1,4.0089998245239,50.647908562185
ECCOSORB_BSR1,5.0120000839233,49.137515633596
ECCOSORB_BSR1,6.0149998664856,52.634730037831
ECCOSORB_BSR1,7.0009999275208,56.550235855596
ECCOSORB_BSR1,8.0039997100830,59.251517214583
ECCOSORB_BSR1,9.0069999694824,60.911693803896
ECCOSORB_BSR1,10.010000228882,61.835504269080
ECCOSORB_BSR1,11.012999534607,62.104622661493
ECCOSORB_BSR1,12.015999794006,61.742822131982
ECCOSORB_BSR1,13.001999855042,60.784851077378
ECCOSORB_BSR1,14.005000114441,59.206764387615
ECCOSORB_BSR1,15.008000373840,57.026934657875
ECCOSORB_BSR1,16.010999679565,54.251408525302
ECCOSORB_BSR1,17.013999938965,50.884737667887
ECCOSORB_BSR1,18.000000000000,47.002779903049
epoxy_resin,1.0000000000000,1.6882767085114
epoxy_resin,2.0030000209808,1.7550417387915
epoxy_resin,3.0060000419617,0.011555471085992
epoxy_resin,4.0089998245239,1.5819204437853
epoxy_resin,5.0120000839233,1.6294291705227
epoxy_resin,6.0149998664856,0.088318545589619
epoxy_resin,7.0009999275208,1.5848176877798
epoxy_resin,8.0039997100830,1.5769509239804
epoxy_resin,9.0069999694824,0.10437271473131
epoxy_resin,10.010000228882,1.6424822753949
epoxy_resin,11.012999534607,1.5026332734606
epoxy_resin,12.015999794006,0.10755492540582
epoxy_resin,13.001999855042,1.6999929143528
epoxy_resin,14.005000114441,1.4485621977576
epoxy_resin,15.008000373840,0.091813345726317
epoxy_resin,16.010999679565,1.8277626300441
epoxy_resin,17.013999938965,1.3635779016016
epoxy_resin,18.000000000000,0.017626528131319
FR4,1.0000000000000,1.9685769468264
FR4,2.0030000209808,1.6110257539584
FR4,3.0060000419617,0.58196815714784
FR4,4.0089998245239,2.4086339277557
FR4,5.0120000839233,1.6453838674980
FR4,6.0149998664856,1.0925660286099
FR4,7.0009999275208,2.8029421043902
FR4,8.0039997100830,1.8461221367351
FR4,9.0069999694824,1.6239107359362
FR4,10.010000228882,3.1502873912409
FR4,11.012999534607,2.0565216989309
FR4,12.015999794006,2.1517068627934
